course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
"RCFE-CETP-002","RCFE-CETP-002_Q011","Which phrase is the most objective documentation wording?","multichoice","Resident was impossible during shower time.","Resident pulled towel to chest and said leave me alone when staff approached with shower supplies.","Resident was attention-seeking again.","Resident refused because of a bad attitude.","B","The objective wording describes what was seen and heard without assigning motive or blame.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q012","What is the main purpose of staff coaching in this course?","multichoice","To make staff use identical words in every resident interaction.","To replace service planning with informal reminders.","To turn observations into respectful, consistent, documented care actions.","To keep family contacts from contributing preference information.","C","Coaching helps staff apply person-centered practices consistently and document useful information for plan review.","foundational","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q013","A staff note says, Resident is combative with dressing every morning. What administrator response is most appropriate?","multichoice","Ask staff to describe observable actions, timing, approach used, likely discomfort, and what helped or worsened the interaction.","Accept the note because it clearly describes the resident's personality.","Tell staff not to write anything unless the resident is injured.","Call the behavior intentional unless family says otherwise.","A","The administrator should coach staff toward facts and patterns so the plan can address possible needs without blaming the resident.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q014","A resident repeatedly asks to go home after dinner. Which response best applies validation?","multichoice","You live here now, so stop asking.","You sound worried about home; let's sit together and have some tea while we look at your evening routine.","Everyone has already answered that question today.","If you ask again, we will document refusal.","B","Validation acknowledges the emotion and redirects toward comfort without arguing or escalating distress.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q015","Staff disagree about whether a resident is refusing care or frightened. What should the administrator do next?","multichoice","Let each staff member decide independently by shift.","Remove the care task from the plan permanently.","Tell staff the resident is refusing unless the resident says the word fear.","Review patterns, staff approach, environment, possible unmet needs, and documentation before updating staff instructions.","D","Administrator oversight requires a fact-based review that can support plan changes and consistent staff direction.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q016","Which service-plan instruction is most usable for staff?","multichoice","Provide dementia care as needed.","Be patient with the resident.","Support the resident's evening routine by approaching from the front, offering two clothing choices, warming the room, and re-approaching after ten minutes if safe.","Handle behaviors appropriately and tell the administrator later.","C","Specific plan language is more actionable than broad reminders and helps staff repeat the approach that protects dignity.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q017","A resident becomes agitated in a loud dining room but eats well in a quieter area. What administrator action fits the course content?","multichoice","Review whether the dining environment should be adjusted in the plan and document the resident's response.","Tell staff the resident must adapt to the standard dining arrangement.","Stop documenting meals because intake improved elsewhere.","Ask family to solve the dining-room issue privately.","A","The observation suggests an environmental support that should be considered for individualized planning and documented follow-up.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q018","A staff member says, He is manipulating us with the call light. What coaching response best fits person-centered practice?","multichoice","Agree if the call light use is frequent.","Remove the call light during busy periods.","Tell staff to answer only every third call.","Ask staff to review timing, need, discomfort, loneliness, confusion, and response patterns before drawing conclusions.","D","The coaching response redirects staff from motive-based language to unmet-need review and objective observation.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q019","When should the administrator consider updating dementia-care plan instructions?","multichoice","Only after a licensing visit requests it.","When patterns, preferences, risks, staff observations, or resident responses show the current approach needs adjustment.","Only when family members write the new plan language.","Never, because dementia plans should stay fixed for consistency.","B","Plans should remain current as needs, responses, and risks change; consistency depends on updated shared instructions.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q020","Which family communication is most appropriate after a fictional resident shows repeated evening distress?","multichoice","Your family member is causing problems after dinner.","We can promise the new approach will stop all distress.","We observed evening distress and are adjusting privacy, pacing, and comfort; do you know any familiar evening routines that may help?","Send the full staff disagreement thread to every relative.","C","The appropriate message is factual, privacy-aware, and invites relevant preference information without blaming or overpromising.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q021","A resident resists morning bathing but accepts a sponge bath after breakfast. What should the administrator emphasize?","multichoice","Document the successful timing and approach, review preference patterns, and consider plan language for future care.","Require the original schedule because the task was assigned for morning.","Tell staff to avoid bathing documentation when the outcome is acceptable.","Assume the resident no longer needs hygiene support.","A","The accepted alternative provides useful planning information that should be documented and converted into consistent care direction.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q022","A caregiver uses a calm tone but asks five questions at once. What coaching point should the administrator make?","multichoice","Tone is the only communication factor that matters.","Use one-step cues and allow time to process before repeating or adding choices.","Ask more questions so the resident can practice memory skills.","Stop offering choices in all dementia-care situations.","B","Calm tone helps, but too much information can overwhelm a resident who has difficulty processing language.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q023","Which response best protects privacy during a practice assignment?","multichoice","Use a recent real resident event but remove the last name.","Use the facility name but change the resident's age.","Use only the fictional case facts or neutral invented details that do not identify anyone.","Upload a copied care note if the learner thinks it is helpful.","C","The course requires fictional or neutral details so learners can practice without exposing protected or identifying information.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q024","What should a documentation note include after staff coaching is completed?","multichoice","Only the phrase staff coached.","A statement that all future behavior has been resolved.","A list of staff opinions about why the resident acted that way.","The observed issue, coaching provided, plan update if any, resident response, and follow-up need.","D","A useful note shows what was observed, what direction was given, how the plan changed, and what still needs monitoring.","application","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q025","Scenario: A resident walks toward the exit each day at 4 p.m. and says work is waiting. What is the best administrator direction?","multichoice","Review the pattern, former routine, activity schedule, environmental cues, safety risk, and person-centered redirection plan.","Tell staff to argue that the resident is retired.","Ignore the pattern if the resident has not left the building.","Document the resident as intentionally eloping without further review.","A","The scenario calls for pattern review and individualized support because the time and statement may reflect former role, routine, or unmet need.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q026","Scenario: Staff report that a resident hits during sweater changes. What question should the administrator prioritize?","multichoice","Which staff member can complete the task fastest?","Can we skip all clothing changes permanently?","What exactly happens before the hitting, and could pain, temperature, privacy, or approach be contributing?","Can the family tell the resident to behave better?","C","The administrator needs observable sequence and possible contributors before staff can adjust the approach or escalate concerns appropriately.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q027","Scenario: A family contact asks for details about another resident's behavior in the dining room. How should staff be directed?","multichoice","Share details if the family contact is worried.","Provide names only if the event was minor.","Ask the family contact to keep the information confidential.","Protect privacy and discuss only the resident-specific information the contact is authorized to receive.","D","Dementia-care communication must preserve privacy even when families have understandable concerns.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q028","Scenario: A resident calms when staff play familiar music before grooming. What is the best plan-related action?","multichoice","Use the music approach for every resident with dementia.","Document the response and consider adding the individualized music cue to the grooming routine instructions.","Stop observing because the issue is solved forever.","Tell staff the music replaces all other support needs.","B","A successful individualized cue should be documented and considered for plan language while monitoring whether it continues to help.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q029","Scenario: During a noisy shift change, a resident refuses medication assistance from authorized staff. What should the administrator review?","multichoice","Whether timing, noise, staff approach, privacy, discomfort, or routine disruption affected the resident's response.","Whether the resident should be labeled non-compliant in all future notes.","Whether staff can omit documentation because the hallway was busy.","Whether family can be asked to administer medications instead.","A","The scenario points to environmental and approach factors that may affect cooperation and require appropriate documentation and follow-up.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q030","Scenario: A resident with dementia has a sudden increase in confusion and reduced intake. What administrator response fits the course?","multichoice","Assume progression and wait for the next routine review.","Ask staff to keep the change informal until family visits.","Remove the resident from activities without documenting why.","Ensure timely reporting through facility channels, document observations, and follow escalation procedures.","D","Sudden changes require timely attention and should not be dismissed as expected dementia behavior.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q031","Scenario: Staff write that a resident is attention-seeking because she calls out after lunch. Which administrator follow-up is best?","multichoice","Tell staff not to respond unless the resident uses the call light.","Ask whether the resident is allowed to call out under facility policy.","Review pain, toileting, fatigue, loneliness, overstimulation, and what responses reduce distress.","Ask another resident to reassure her after lunch.","C","The administrator should convert the label into a structured unmet-need review and staff response plan.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q032","Scenario: A resident is more cooperative with a familiar caregiver. What should the administrator avoid?","multichoice","Reviewing introduction routines for unfamiliar staff.","Assuming only that caregiver can provide care and leaving the plan undocumented.","Documenting which approach works well.","Coaching other staff on the successful approach.","B","Depending on one caregiver without plan language creates inconsistency and weakens continuity across shifts.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q033","Scenario: A learner wants to submit a real care note with names removed for the assignment. What is the correct course response?","multichoice","Allow it because names are removed.","Allow it if the learner says the facility approved verbally.","Allow it only if the resident has dementia.","Reject it and require the fictional case or neutral invented details with no protected or identifying information.","D","The course privacy rule prohibits real resident or facility information in learner submissions, even when some identifiers are removed.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q034","Scenario: A resident refuses lunch in the main dining room but eats snacks in a quiet corner. What is the best administrator action?","multichoice","Document the pattern, review environmental factors, and consider individualized mealtime supports.","Record that the resident refuses meals and take no further action.","Tell staff to stop offering quiet alternatives.","Assume family preferences are the only explanation.","A","The mealtime pattern may reveal a support need related to stimulation, setting, or routine and should inform planning.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q035","Scenario: Staff want a quick script for a resident who asks for a deceased spouse. What should the administrator provide?","multichoice","A rule that staff must state the death every time.","A direction to ignore the question until it stops.","Guidance to validate the emotion, use known comforting routines, and document the response.","Permission to tell any story that ends the conversation fastest.","C","The course supports validation, individualized comfort, and documentation rather than repeated correction or unbounded improvisation.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q036","Scenario: A staff member says a resident is always worse on bath days. What information is most useful for the administrator?","multichoice","Whether staff dislike bath assignments.","The specific timing, room conditions, words used, privacy supports, resident cues, and response to re-approach.","Whether the resident can be persuaded by another resident.","How many times the staff member has complained.","B","Useful administrator review depends on concrete details that can become plan updates and coaching points.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q037","Scenario: The post-test is passed, but the learner skipped required scenarios and the course is still pending approval metadata. What should happen?","multichoice","Release the certificate because the quiz score is the main evidence.","Release the certificate if the learner promises to finish later.","Mark the learner complete manually to avoid delay.","Keep completion or certificate release blocked until all required activities and metadata gates are satisfied.","D","The completion gate requires activity evidence, assessment, participation, evaluation when required, and approval metadata before certificate release.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q038","Scenario: Staff solved evening distress by warming the room and returning later. What documentation is most complete?","multichoice","Resident eventually complied.","Staff did a good job and no plan review is needed.","Resident showed distress during evening care; staff warmed room, offered privacy, re-approached later, resident accepted care, plan update and follow-up were noted.","Resident was difficult but manageable.","C","The complete note links observation, intervention, resident response, plan review, and follow-up in objective language.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q039","Scenario: A family contact offers a familiar evening routine that may calm the resident. How should the administrator use it?","multichoice","Promise the contact the routine will prevent all distress.","Evaluate whether the routine fits current needs, add practical plan language if appropriate, coach staff, and monitor response.","Tell staff to use it without documenting the change.","Reject family input because only staff observations matter.","B","Family information can support individualized planning when it is reviewed, documented, communicated to staff, and monitored.","scenario","Managing Alzheimer's Disease and Related Dementias"
"RCFE-CETP-002","RCFE-CETP-002_Q040","Scenario: Staff ask whether they may use the resident's real story in class because it teaches the lesson well. What is the correct answer?","multichoice","No. Use fictional or neutral details only, and keep real resident, facility, and protected information out of the course.","Yes, if the story is educational.","Yes, if the resident's diagnosis is common.","Yes, if the instructor deletes the resident's room number.","A","The course requires privacy-safe practice materials; educational value does not justify exposing real protected or identifying details.","scenario","Managing Alzheimer's Disease and Related Dementias"
