unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U05,U05_Q09_scenario,"In the scenario for U05, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"compare to baseline, report objective changes, and continue care-plan support",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 13 - Long Term Care Patient/Resident
U05,U05_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 13 - Long Term Care Patient/Resident
U06,U06_Q01_source,Which source backbone maps to U06 - Long Term Care Patient/Resident II: Chronic Conditions and Daily Support?,multichoice,Module 13 - Long Term Care Patient/Resident,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U06 is mapped to Module 13 - Long Term Care Patient/Resident within the 12 unit x 2 hour CNA course.,easy,Module 13 - Long Term Care Patient/Resident
U06,U06_Q02_priority,"A CNA encounters new or escalating distress, withdrawal, unsafe behavior, or change in function. What is the best action?",multichoice,wait until the end of shift,"use care-plan guided communication, reduce triggers, and report objective patterns","argue, shame, force care, or label the resident as bad",enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 13 - Long Term Care Patient/Resident
U06,U06_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,"argue, shame, force care, or label the resident as bad",protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 13 - Long Term Care Patient/Resident
U06,U06_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,"Resident became tearful during evening care, stated need to go home, pulled arm away when rushed, calmed with family photo; nurse notified.",D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 13 - Long Term Care Patient/Resident
U06,U06_Q05_term,What does Validation therapy mean in this unit?,multichoice,a certificate approval number,acknowledging the resident's feelings or perceived reality to reduce distress,a clinical skill checkoff,a copied source page,B,Validation therapy means acknowledging the resident's feelings or perceived reality to reduce distress.,easy,Module 13 - Long Term Care Patient/Resident
U06,U06_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,choosing dementia-sensitive responses and nonstigmatizing documentation,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 13 - Long Term Care Patient/Resident
U06,U06_Q07_completion,What evidence should Moodle retain for U06?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 13 - Long Term Care Patient/Resident
U06,U06_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 13 - Long Term Care Patient/Resident
U06,U06_Q09_scenario,"In the scenario for U06, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"use care-plan guided communication, reduce triggers, and report objective patterns",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 13 - Long Term Care Patient/Resident
U06,U06_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 13 - Long Term Care Patient/Resident
U07,U07_Q01_source,Which source backbone maps to U07 - Rehabilitative Nursing?,multichoice,Module 14 - Rehabilitative Nursing,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U07 is mapped to Module 14 - Rehabilitative Nursing within the 12 unit x 2 hour CNA course.,easy,Module 14 - Rehabilitative Nursing
U07,U07_Q02_priority,"A CNA encounters new decline, pain, unsafe device fit, or inability to complete assigned restorative activity. What is the best action?",multichoice,wait until the end of shift,"encourage safe participation, follow the care plan, and report functional changes",change the mobility or therapy plan independently,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 14 - Rehabilitative Nursing
U07,U07_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,change the mobility or therapy plan independently,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 14 - Rehabilitative Nursing
U07,U07_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Resident washed face and upper body with setup and verbal cueing; used long-handled sponge; reported fatigue after care.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 14 - Rehabilitative Nursing
U07,U07_Q05_term,What does Restorative care mean in this unit?,multichoice,a certificate approval number,care that supports the resident's highest practical level of function,a clinical skill checkoff,a copied source page,B,Restorative care means care that supports the resident's highest practical level of function.,easy,Module 14 - Rehabilitative Nursing
U07,U07_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,promoting independence while documenting assistance and response,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 14 - Rehabilitative Nursing
U07,U07_Q07_completion,What evidence should Moodle retain for U07?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 14 - Rehabilitative Nursing
U07,U07_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 14 - Rehabilitative Nursing
U07,U07_Q09_scenario,"In the scenario for U07, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"encourage safe participation, follow the care plan, and report functional changes",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 14 - Rehabilitative Nursing
U07,U07_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 14 - Rehabilitative Nursing
U08,U08_Q01_source,Which source backbone maps to U08 - Observation and Charting I: Objective Observation?,multichoice,Module 15 - Observation and Charting,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U08 is mapped to Module 15 - Observation and Charting within the 12 unit x 2 hour CNA course.,easy,Module 15 - Observation and Charting
U08,U08_Q02_priority,"A CNA encounters new dizziness, pallor, poor intake, or change from baseline. What is the best action?",multichoice,wait until the end of shift,report objective and subjective details promptly using approved terms,diagnose the cause or use vague labels like acting weird,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 15 - Observation and Charting
U08,U08_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,diagnose the cause or use vague labels like acting weird,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 15 - Observation and Charting
U08,U08_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,"Resident stated, 'I feel dizzy,' gripped bedrail while standing, appeared pale, and ate 10 percent breakfast; nurse notified.",D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 15 - Observation and Charting
U08,U08_Q05_term,What does Objective observation mean in this unit?,multichoice,a certificate approval number,"information seen, heard, smelled, measured, or directly observed",a clinical skill checkoff,a copied source page,B,"Objective observation means information seen, heard, smelled, measured, or directly observed.",easy,Module 15 - Observation and Charting
U08,U08_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,labeling objective versus subjective information and rewriting vague notes,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 15 - Observation and Charting
U08,U08_Q07_completion,What evidence should Moodle retain for U08?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 15 - Observation and Charting
U08,U08_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 15 - Observation and Charting
U08,U08_Q09_scenario,"In the scenario for U08, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,report objective and subjective details promptly using approved terms,post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 15 - Observation and Charting
U08,U08_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 15 - Observation and Charting
U09,U09_Q01_source,Which source backbone maps to U09 - Observation and Charting II: Documentation and Reporting?,multichoice,Module 15 - Observation and Charting,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U09 is mapped to Module 15 - Observation and Charting within the 12 unit x 2 hour CNA course.,easy,Module 15 - Observation and Charting
U09,U09_Q02_priority,"A CNA encounters fall or slide to floor, injury, or coworker pressure to falsify documentation. What is the best action?",multichoice,wait until the end of shift,"report immediately, document facts, and follow incident policy",chart a false assisted transfer to avoid blame,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 15 - Observation and Charting
U09,U09_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,chart a false assisted transfer to avoid blame,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 15 - Observation and Charting
U09,U09_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Resident slid from wheelchair to floor while reaching for sweater; denies pain; small skin tear observed on left forearm; nurse notified.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 15 - Observation and Charting
U09,U09_Q05_term,What does Incident report mean in this unit?,multichoice,a certificate approval number,a facility document used to record facts about an unusual event according to policy,a clinical skill checkoff,a copied source page,B,Incident report means a facility document used to record facts about an unusual event according to policy.,easy,Module 15 - Observation and Charting
U09,U09_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,choosing factual charting and rejecting falsification,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 15 - Observation and Charting
U09,U09_Q07_completion,What evidence should Moodle retain for U09?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 15 - Observation and Charting
U09,U09_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 15 - Observation and Charting
U09,U09_Q09_scenario,"In the scenario for U09, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"report immediately, document facts, and follow incident policy",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 15 - Observation and Charting
U09,U09_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 15 - Observation and Charting
U10,U10_Q01_source,Which source backbone maps to U10 - Death and Dying?,multichoice,Module 16 - Death and Dying,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U10 is mapped to Module 16 - Death and Dying within the 12 unit x 2 hour CNA course.,easy,Module 16 - Death and Dying
U10,U10_Q02_priority,"A CNA encounters breathing changes, dry mouth, agitation, pain signs, or family distress near end of life. What is the best action?",multichoice,wait until the end of shift,"provide assigned comfort care, support privacy, report changes, and refer prognosis questions",predict exact time of death or interpret DNR orders independently,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 16 - Death and Dying
U10,U10_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,predict exact time of death or interpret DNR orders independently,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 16 - Death and Dying
U10,U10_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,Resident has long pauses in breathing and dry mouth; family asked about condition; nurse notified.,D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 16 - Death and Dying
U10,U10_Q05_term,What does Hospice mean in this unit?,multichoice,a certificate approval number,care focused on comfort and quality of life for a person with terminal illness,a clinical skill checkoff,a copied source page,B,Hospice means care focused on comfort and quality of life for a person with terminal illness.,easy,Module 16 - Death and Dying
U10,U10_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,separating compassionate support from prognosis or legal interpretation,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 16 - Death and Dying
U10,U10_Q07_completion,What evidence should Moodle retain for U10?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 16 - Death and Dying
U10,U10_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 16 - Death and Dying
U10,U10_Q09_scenario,"In the scenario for U10, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"provide assigned comfort care, support privacy, report changes, and refer prognosis questions",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 16 - Death and Dying
