question_id,lane,category,course_unit_module,objective,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,rationale,difficulty,source_reference,sme_review_status,moodle_import_category
BRN-M03-Q08,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Identify coordination enablers.,ms,Which support effective care coordination? (Select all that apply.),"Timely, structured communication","Shared, current care plan",Withholding information from the team,Clear roles and follow-up,,A; B; D,"Communication, shared plans, and clear roles/follow-up support coordination; withholding information does not.",medium,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q09,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Engage the patient in coordination.,mcq,The patient's role in care coordination is best described as:,Passive bystander,An active partner whose input and understanding are essential,Irrelevant,Decision-maker for the clinical team,,B,Patients are active partners in coordinated care.,easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q10,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Document coordination activities.,mcq,"Documenting coordination activities (calls, referrals, follow-ups) is important because it:",Wastes time,"Creates a record of actions, supports continuity, and demonstrates accountability",Replaces communication,Is optional,,B,"Documentation records coordination, supports continuity, and shows accountability.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q11,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Leverage community resources.,tf,Coordinating with community resources can help address needs that affect health outcomes.,TRUE,FALSE,,,,TRUE,Community resources help address determinants affecting outcomes.,easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q12,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,Strengthen interdisciplinary and cross-setting care coordination,Promote fragmented care,Replace the team,,B,"The aim is effective interdisciplinary, cross-setting coordination.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M04-Q01,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Describe legally sound documentation.,mcq,Legally sound nursing documentation should be:,Vague and delayed,"Accurate, objective, timely, complete, and legible",Based on assumptions,Altered after the fact without notation,,B,"Sound documentation is accurate, objective, timely, complete, and legible.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q02,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply factual charting.,mcq,Charting should generally reflect:,What the nurse intended to do,"What was actually assessed, done, and observed, and the patient's response",Only favorable information,Opinions about the patient's character,,B,"Documentation reflects actual assessment, actions, observations, and responses.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q03,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply correct error-correction in records.,mcq,"If an error is made in an electronic record, the appropriate action is to:",Delete the entry so no one sees it,Correct it per policy using an addendum/correction that preserves the original entry and audit trail,Ask IT to erase the history,Leave the error and ignore it,,B,Corrections must preserve the original entry and audit trail per policy.,medium,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q04,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Recognize the legal status of the record.,tf,The medical record can serve as a legal document and may be used in audits or legal proceedings.,TRUE,FALSE,,,,TRUE,The record is a legal document used in audits and proceedings.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q05,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Define audit-ready documentation.,mcq,'Audit-ready' documentation means records are:,Incomplete and disorganized,"Complete, accurate, and organized so they can withstand review",Hidden from reviewers,Written in personal shorthand only,,B,"Audit-ready records are complete, accurate, and organized for review.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q06,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Document patient education.,mcq,Documenting patient education and the patient's response is important because it:,Is unnecessary,"Demonstrates the education occurred and supports safe, coordinated care",Replaces the care plan,Hides information,,B,Documenting education and response evidences teaching and supports care.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q07,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply correct late-entry documentation.,scenario,Scenario: A case manager realizes a prior entry omitted an important assessment finding from earlier that day. The best action is to:,Backdate a new entry to the earlier time,"Make a clearly labeled late entry/addendum per policy, with the current date/time and reference to when the event occurred",Ask a colleague to enter it,Leave it out to avoid scrutiny,,B,A properly labeled late entry maintains integrity; backdating or proxy entry is falsification.,hard,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q08,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Identify defensible-documentation traits.,ms,Which are characteristics of defensible documentation? (Select all that apply.),Objective and factual,Timely,Altered without notation,Complete and legible,,A; B; D,"Objective, timely, complete, and legible records are defensible; undocumented alteration is not.",medium,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q09,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply record confidentiality.,mcq,Confidentiality and privacy of records require that information is:,Shared with anyone,"Accessed and disclosed only as authorized and necessary, consistent with privacy law and policy",Posted publicly,Discussed openly,,B,"Access/disclosure is limited to authorized, necessary use under privacy law and policy. Confirm specific privacy requirements with SME/legal.",medium,BRN CM Module M04 - Documentation and Legal Charting,SME/legal review required before submission,BRN/M04
BRN-M04-Q10,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply standardized documentation language.,mcq,Using approved terminology and avoiding unapproved abbreviations helps to:,Confuse readers,Reduce misinterpretation and errors,Make charts longer,Hide information,,B,Standardized terminology reduces misinterpretation and error.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q11,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply documentation integrity.,tf,"Documentation should never be falsified, and care that was not provided should not be charted as done.",TRUE,FALSE,,,,TRUE,Falsification is prohibited; only actual care is documented.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q12,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,"Strengthen documentation, legal charting, and audit-ready recordkeeping",Encourage shortcuts,Replace the care plan,,B,"The aim is sound documentation, legal charting, and audit readiness.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M05-Q01,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Describe informed-consent elements.,mcq,Informed consent generally requires that the patient:,Signs without understanding,"Receives understandable information about the option, risks, benefits, and alternatives and voluntarily agrees",Is told only the benefits,Is pressured to agree,,B,Informed consent requires understandable disclosure and voluntary agreement. Confirm legal specifics with SME/legal.,medium,BRN CM Module M05 - Patient Rights and Ethics,SME/legal review required before submission,BRN/M05
BRN-M05-Q02,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Define patient advocacy.,mcq,Patient advocacy in case management means the nurse:,Always defers to the payer,"Supports the patient's rights, voice, and informed choices within ethical and legal bounds",Makes all decisions for the patient,Ignores patient preferences,,B,Advocacy supports the patient's rights and informed choices within ethical/legal limits.,easy,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q03,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply respect for autonomy.,mcq,Respecting patient autonomy means:,Overriding patient decisions,Honoring the patient's right to make informed decisions about their own care,Withholding information,Deciding for the patient,,B,Autonomy is the patient's right to make informed decisions.,easy,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q04,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply the right to refuse care.,tf,"Patients generally have the right to refuse care, and refusals should be documented and addressed appropriately.",TRUE,FALSE,,,,TRUE,The right to refuse is fundamental; refusals are documented and managed appropriately. Confirm legal nuances with SME/legal.,medium,BRN CM Module M05 - Patient Rights and Ethics,SME/legal review required before submission,BRN/M05
BRN-M05-Q05,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Recognize professional boundary issues.,mcq,A professional boundary issue arises when the nurse:,"Maintains a therapeutic, professional relationship",Allows personal interests or relationships to interfere with professional judgment or the patient relationship,Documents accurately,Follows the code of ethics,,B,Boundary issues occur when personal interests compromise professional judgment/relationship.,medium,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q06,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply an ethical decision-making approach.,mcq,"When an ethical dilemma arises, a sound approach is to:",Decide quickly alone,"Identify the issue, consider the patient's values and ethical principles, and use available resources (e.g., ethics consultation, policy)",Ignore it,Always choose the cheapest option,,B,Structured ethical reasoning and available resources support sound decisions.,medium,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q07,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Balance beneficence with autonomy.,scenario,Scenario: A competent patient declines a recommended service that the team believes is beneficial. The case manager should:,Override the patient's decision,"Ensure the patient is informed of risks/benefits/alternatives, respect the autonomous decision, document it, and continue supportive care",Discharge the patient for non-compliance,Pressure the patient to agree,,B,"A competent, informed patient may refuse; the nurse ensures understanding, respects autonomy, and documents.",hard,BRN CM Module M05 - Patient Rights and Ethics,SME/legal review required before submission,BRN/M05
BRN-M05-Q08,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Identify core ethical principles.,ms,Which are core ethical principles relevant to case management? (Select all that apply.),Autonomy,Beneficence and non-maleficence,Deception,Justice,,A; B; D,"Autonomy, beneficence/non-maleficence, and justice are core; deception is not an ethical principle.",medium,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q09,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply confidentiality.,mcq,Confidentiality of patient information means the nurse should:,Share freely,Protect information and disclose only as authorized or legally required,Post about patients,Discuss patients publicly,,B,Confidentiality limits disclosure to authorized/legally required situations.,easy,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q10,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply cultural humility.,mcq,Cultural humility in advocacy means the nurse:,Imposes their own values,Respects and responds to the patient's cultural beliefs and preferences,Ignores culture,Treats all patients identically,,B,Cultural humility respects and responds to the patient's beliefs and preferences.,easy,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M05-Q11,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",Apply advance directives.,tf,Advance directives express a patient's wishes and should be honored within legal and policy frameworks.,TRUE,FALSE,,,,TRUE,Advance directives guide care per legal and policy frameworks. Confirm specifics with SME/legal.,medium,BRN CM Module M05 - Patient Rights and Ethics,SME/legal review required before submission,BRN/M05
BRN-M05-Q12,BRN,M05,"M05 - Patient Rights, Consent, Advocacy, and Ethical Boundaries (3 contact hours)",State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,"Strengthen knowledge of patient rights, consent, advocacy, and ethical boundaries",Reduce advocacy,Replace the ethics committee,,B,"The aim is rights, consent, advocacy, and ethical boundaries.",easy,BRN CM Module M05 - Patient Rights and Ethics,SME review recommended,BRN/M05
BRN-M06-Q01,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Describe elements of a safe transition.,mcq,A safe transition of care depends most on:,Speed alone,"Accurate information transfer, a clear plan, and confirmed follow-up arrangements",Minimizing patient involvement,Avoiding documentation,,B,"Safe transitions require accurate information transfer, a clear plan, and confirmed follow-up.",medium,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q02,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Apply timely discharge planning.,mcq,Discharge planning should ideally begin:,At the moment of discharge,Early in the care episode and be updated as the patient's status changes,After the patient leaves,Only if problems occur,,B,"Early, dynamic discharge planning improves outcomes and reduces readmission risk.",easy,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q03,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Explain the value of medication reconciliation.,mcq,Medication reconciliation at transitions helps to:,Increase errors,Identify and resolve discrepancies to prevent medication errors,Replace the pharmacist,Avoid documentation,,B,Reconciliation identifies discrepancies and reduces medication errors at transitions.,medium,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q04,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Apply teach-back at discharge.,tf,Teach-back (having the patient restate instructions in their own words) helps confirm understanding at discharge.,TRUE,FALSE,,,,TRUE,Teach-back verifies patient understanding of discharge instructions.,easy,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q05,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Leverage community resources at transition.,mcq,Connecting patients to appropriate community resources helps to:,Create barriers,Address ongoing needs and support continuity after discharge,Increase readmissions,Avoid follow-up,,B,Community resources support continuity and address ongoing needs.,easy,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q06,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Identify readmission risk factors.,mcq,A key cause of avoidable readmissions is:,Thorough discharge planning,"Poor transitions, unclear instructions, and inadequate follow-up",Medication reconciliation,Patient education,,B,Poor transitions and follow-up contribute to avoidable readmissions.,medium,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
BRN-M06-Q07,BRN,M06,"M06 - Transitions of Care, Discharge Planning, Community Resources (3 contact hours)",Manage an unsafe discharge situation.,scenario,Scenario: A patient is being discharged home but expresses confusion about their new medications and follow-up appointments. The case manager should:,Proceed with discharge as planned,"Pause to clarify instructions using teach-back, reconcile medications, confirm follow-up, and arrange support/resources as needed",Tell the patient to figure it out,Cancel the discharge entirely,,B,"Clarifying instructions, reconciling medications, and confirming follow-up create a safe transition.",hard,BRN CM Module M06 - Transitions and Discharge Planning,SME review recommended,BRN/M06
