Project,Module ID,Module Title,Lesson ID,Lesson Title,Card ID,Card Type,Title,app.location,Narration,Transcript,Estimated Seconds,Estimated Word Count,Target Duration Status,Voice Notes,Source Reference,SME Review Flag,Compliance Review Flag,Status
"CNA Recertification Theory","m2","Resident Rights and Abuse Prevention","m2.l3","Signs and Symptoms of Abuse","m2.l3.c01","narration","Signs and Symptoms of Abuse","modules.m2.l3.c01","You may not witness abuse directly. Look for these warning signs. Behavioral signs include new depression, confusion, withdrawal, flinching at touch, and being overly anxious to please a caregiver. Physical signs include unexplained bruises, burns, or scars, unkempt appearance, and preventable pressure injuries. Environmental signs include unsafe or unsanitary living conditions and not being allowed private conversations with visitors. When you observe any of these signs, document what you see objectively and report immediately to the licensed nurse.","You may not witness abuse directly. Look for these warning signs. Behavioral signs include new depression, confusion, withdrawal, flinching at touch, and being overly anxious to please a caregiver. Physical signs include unexplained bruises, burns, or scars, unkempt appearance, and preventable pressure injuries. Environmental signs include unsafe or unsanitary living conditions and not being allowed private conversations with visitors. When you observe any of these signs, document what you see objectively and report immediately to the licensed nurse.",45,78,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-2-003","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m2","Resident Rights and Abuse Prevention","m2.l4","Mandated Reporter Obligations","m2.l4.c01","narration","Mandated Reporter Obligations","modules.m2.l4.c01","In California, all CNAs are mandated reporters. This is a legal obligation - not a choice. You must report known or suspected abuse immediately. You do not need to prove that abuse occurred. Reasonable suspicion is enough. Report first to the licensed nurse, then follow your facility's policy for formal reporting. If your supervisor does not act, you may report directly to Adult Protective Services or the Long-Term Care Ombudsman. Failure to report is a crime. Reports made in good faith are legally protected.","In California, all CNAs are mandated reporters. This is a legal obligation - not a choice. You must report known or suspected abuse immediately. You do not need to prove that abuse occurred. Reasonable suspicion is enough. Report first to the licensed nurse, then follow your facility's policy for formal reporting. If your supervisor does not act, you may report directly to Adult Protective Services or the Long-Term Care Ombudsman. Failure to report is a crime. Reports made in good faith are legally protected.",50,83,"Within target","Ombudsman = OM-budz-man.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-2-004","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m2","Resident Rights and Abuse Prevention","m2.l5","Prevention and Professional Boundaries","m2.l5.c01","narration","Prevention and Professional Boundaries","modules.m2.l5.c01","You can help prevent abuse by recognizing your own stress triggers and asking for help when you need it. Answer call lights promptly. Follow your facility's policies consistently. Encourage family visits - isolated residents are more vulnerable. Speak up if you see a coworker losing patience. Professional boundaries protect both you and the residents you care for. Do not accept gifts, share personal financial problems with residents, or develop romantic relationships with residents. Boundary violations are a form of abuse - even if the resident initiates the contact.","You can help prevent abuse by recognizing your own stress triggers and asking for help when you need it. Answer call lights promptly. Follow your facility's policies consistently. Encourage family visits - isolated residents are more vulnerable. Speak up if you see a coworker losing patience. Professional boundaries protect both you and the residents you care for. Do not accept gifts, share personal financial problems with residents, or develop romantic relationships with residents. Boundary violations are a form of abuse - even if the resident initiates the contact.",45,87,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-2-005","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m3","Dementia, Communication, and Cultural Respect","m3.l1","Understanding Dementia","m3.l1.c01","narration","Understanding Dementia","modules.m3.l1.c01","Dementia is not a single disease - it is a group of symptoms affecting memory, thinking, and daily function. Alzheimer's disease is the most common cause, accounting for 60 to 80 percent of cases. Dementia is not a normal part of aging. It is progressive - symptoms worsen over time - and currently there is no cure. An important distinction: delirium is sudden confusion caused by infection, medication change, or dehydration, and is often reversible. Dementia develops gradually and is not reversible. If a resident who has been stable suddenly becomes confused, report this to the licensed nurse immediately - it may be delirium, not worsening dementia.","Dementia is not a single disease - it is a group of symptoms affecting memory, thinking, and daily function. Alzheimer's disease is the most common cause, accounting for 60 to 80 percent of cases. Dementia is not a normal part of aging. It is progressive - symptoms worsen over time - and currently there is no cure. An important distinction: delirium is sudden confusion caused by infection, medication change, or dehydration, and is often reversible. Dementia develops gradually and is not reversible. If a resident who has been stable suddenly becomes confused, report this to the licensed nurse immediately - it may be delirium, not worsening dementia.",55,105,"Within target","Alzheimer's = ALTS-hy-merz. Delirium = deh-LEER-ee-um.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-3-001","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m3","Dementia, Communication, and Cultural Respect","m3.l2","Communication Strategies","m3.l2.c01","narration","Communication Strategies","modules.m3.l2.c01","Effective communication with residents who have dementia requires adjusting your approach. Approach from the front and make eye contact before speaking. Use the resident's name. Speak slowly and clearly in short sentences - one idea at a time. Use a calm, warm tone. Allow extra time for responses. Give one-step directions. Use gentle touch, pointing, and gestures to support understanding. Do not argue or correct - instead, validate the emotion behind what the resident is saying. For example: 'You miss your family. Tell me about them.' Use reminiscence to connect through past experiences.","Effective communication with residents who have dementia requires adjusting your approach. Approach from the front and make eye contact before speaking. Use the resident's name. Speak slowly and clearly in short sentences - one idea at a time. Use a calm, warm tone. Allow extra time for responses. Give one-step directions. Use gentle touch, pointing, and gestures to support understanding. Do not argue or correct - instead, validate the emotion behind what the resident is saying. For example: 'You miss your family. Tell me about them.' Use reminiscence to connect through past experiences.",55,90,"Within target","Reminiscence = rem-ih-NIS-ense.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-3-002","None identified","Uses fictional/de-identified example only.","Draft"
"CNA Recertification Theory","m3","Dementia, Communication, and Cultural Respect","m3.l3","Cultural Sensitivity and Spiritual Respect","m3.l3.c01","narration","Cultural Sensitivity and Spiritual Respect","modules.m3.l3.c01","Cultural sensitivity means being aware of and respectful toward cultural differences in beliefs, values, and practices. Do not assume - ask residents and families about their preferences. Respect dietary practices such as halal, kosher, or vegetarian requirements. Respect modesty preferences including requests for same-gender caregivers. Respect spiritual practices - protect time for prayer, handle religious objects with care, and facilitate visits from spiritual leaders. Use professional interpreter services for medical communication - do not use family members, especially children, as interpreters. At end of life, ask about cultural and religious practices - do not assume.","Cultural sensitivity means being aware of and respectful toward cultural differences in beliefs, values, and practices. Do not assume - ask residents and families about their preferences. Respect dietary practices such as halal, kosher, or vegetarian requirements. Respect modesty preferences including requests for same-gender caregivers. Respect spiritual practices - protect time for prayer, handle religious objects with care, and facilitate visits from spiritual leaders. Use professional interpreter services for medical communication - do not use family members, especially children, as interpreters. At end of life, ask about cultural and religious practices - do not assume.",50,95,"Within target","Halal = hah-LAL. Kosher = KOH-sher.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-3-003","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m3","Dementia, Communication, and Cultural Respect","m3.l4","End-of-Life Care and Grief","m3.l4.c01","narration","End-of-Life Care and Grief","modules.m3.l4.c01","Elisabeth Kubler-Ross identified five stages of grief: denial, anger, bargaining, depression, and acceptance. Not everyone goes through all stages, and they may not occur in order. Your role is not to push someone through the stages - it is to be present, listen, and provide comfort. Signs that death may be approaching include decreased appetite, mottling of the skin, Cheyne-Stokes breathing, cool extremities, and decreased responsiveness. Keep the resident clean and comfortable. Provide mouth care. Speak softly - hearing may be the last sense to go. Allow family to be present and offer your support.","Elisabeth Kubler-Ross identified five stages of grief: denial, anger, bargaining, depression, and acceptance. Not everyone goes through all stages, and they may not occur in order. Your role is not to push someone through the stages - it is to be present, listen, and provide comfort. Signs that death may be approaching include decreased appetite, mottling of the skin, Cheyne-Stokes breathing, cool extremities, and decreased responsiveness. Keep the resident clean and comfortable. Provide mouth care. Speak softly - hearing may be the last sense to go. Allow family to be present and offer your support.",60,94,"Within target","Kubler-Ross = KOOB-ler ROSS. Mottling = MOT-ling. Cheyne-Stokes = CHAYN STOHKS.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-3-004","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m3","Dementia, Communication, and Cultural Respect","m3.l5","Trauma-Informed Care","m3.l5.c01","narration","Trauma-Informed Care","modules.m3.l5.c01","Trauma-informed care means recognizing that many residents have experienced trauma - abuse, war, loss, or medical trauma - and that this affects how they respond to care. The core principles are safety, trustworthiness, choice, collaboration, and empowerment. In practice: announce yourself before entering, explain each step of care before you do it, offer small choices, work with the resident rather than doing things to them, and recognize their strengths. If a resident becomes agitated, stay calm, lower your voice, give space, and acknowledge the feeling: 'I can see you are upset. I want to help.'","Trauma-informed care means recognizing that many residents have experienced trauma - abuse, war, loss, or medical trauma - and that this affects how they respond to care. The core principles are safety, trustworthiness, choice, collaboration, and empowerment. In practice: announce yourself before entering, explain each step of care before you do it, offer small choices, work with the resident rather than doing things to them, and recognize their strengths. If a resident becomes agitated, stay calm, lower your voice, give space, and acknowledge the feeling: 'I can see you are upset. I want to help.'",45,93,"Review timing","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-3-005","None identified","Uses fictional/de-identified example only.","Draft"
"CNA Recertification Theory","m4","Mobility, Falls, and Workplace Safety","m4.l1","Body Mechanics","m4.l1.c01","narration","Body Mechanics","modules.m4.l1.c01","Body mechanics is the use of correct muscle groups and body positions to prevent injury during physical activity. The core principles are: maintain a wide base of support with feet shoulder-width apart. Bend at the knees and hips - not the waist. Keep the load close to your body. Tighten your core muscles before lifting. Pivot your feet to change direction - never twist. Push rather than pull when possible. Know your limits - if a transfer or load requires more than one person, get help or use a mechanical lift. Back injuries are the number one workplace injury for CNAs.","Body mechanics is the use of correct muscle groups and body positions to prevent injury during physical activity. The core principles are: maintain a wide base of support with feet shoulder-width apart. Bend at the knees and hips - not the waist. Keep the load close to your body. Tighten your core muscles before lifting. Pivot your feet to change direction - never twist. Push rather than pull when possible. Know your limits - if a transfer or load requires more than one person, get help or use a mechanical lift. Back injuries are the number one workplace injury for CNAs.",50,99,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-4-001","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m4","Mobility, Falls, and Workplace Safety","m4.l2","Safe Transfers and Ambulation","m4.l2.c01","narration","Safe Transfers and Ambulation","modules.m4.l2.c01","Before any transfer, check the care plan for the resident's weight-bearing status, required assistance level, and equipment needed. Explain what you are doing to the resident. Lock all wheels on the bed and wheelchair. Apply the gait belt snugly over clothing at the waist. Clear the path of obstacles. Position the wheelchair at a 45-degree angle on the resident's stronger side. Count together before moving. Guide the resident's movement - do not lift them. If the care plan requires two-person assist, do not attempt the transfer alone. When assisting with ambulation, stand slightly behind and to the side of the resident's weaker side.","Before any transfer, check the care plan for the resident's weight-bearing status, required assistance level, and equipment needed. Explain what you are doing to the resident. Lock all wheels on the bed and wheelchair. Apply the gait belt snugly over clothing at the waist. Clear the path of obstacles. Position the wheelchair at a 45-degree angle on the resident's stronger side. Count together before moving. Guide the resident's movement - do not lift them. If the care plan requires two-person assist, do not attempt the transfer alone. When assisting with ambulation, stand slightly behind and to the side of the resident's weaker side.",55,106,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-4-002","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m4","Mobility, Falls, and Workplace Safety","m4.l3","Range of Motion and Restorative Care","m4.l3.c01","narration","Range of Motion and Restorative Care","modules.m4.l3.c01","Range of motion refers to the full extent to which a joint can move. When residents are immobile, joints can become stiff - a condition called contracture. Active ROM means the resident performs the movements independently. Active-assistive ROM means the resident has some help from you. Passive ROM means you move the joints for the resident. Always support the limb above and below the joint. Move gently - never force a joint past the point of resistance or pain. In restorative care, encourage residents to do as much as they safely can for themselves. Support independence - do not take over.","Range of motion refers to the full extent to which a joint can move. When residents are immobile, joints can become stiff - a condition called contracture. Active ROM means the resident performs the movements independently. Active-assistive ROM means the resident has some help from you. Passive ROM means you move the joints for the resident. Always support the limb above and below the joint. Move gently - never force a joint past the point of resistance or pain. In restorative care, encourage residents to do as much as they safely can for themselves. Support independence - do not take over.",50,97,"Within target","Contracture = con-TRACK-chur. Proximal = PROK-sih-mul. Distal = DIS-tul.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-4-003","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m4","Mobility, Falls, and Workplace Safety","m4.l4","Fall Prevention","m4.l4.c01","narration","Fall Prevention","modules.m4.l4.c01","Falls are the leading cause of injury in long-term care. Your CNA responsibilities for fall prevention include: answering call lights promptly - many falls happen when residents try to get up alone because help did not come. Lock all wheels before every transfer. Ensure residents wear non-skid footwear. Keep pathways clear and clean up spills immediately. Keep the bed in the lowest position. Keep essentials - call light, water, glasses - within the resident's reach. Use bed alarms as directed by the care plan. Assist with scheduled toileting. Report near-falls - a near-fall today may be a fall tomorrow.","Falls are the leading cause of injury in long-term care. Your CNA responsibilities for fall prevention include: answering call lights promptly - many falls happen when residents try to get up alone because help did not come. Lock all wheels before every transfer. Ensure residents wear non-skid footwear. Keep pathways clear and clean up spills immediately. Keep the bed in the lowest position. Keep essentials - call light, water, glasses - within the resident's reach. Use bed alarms as directed by the care plan. Assist with scheduled toileting. Report near-falls - a near-fall today may be a fall tomorrow.",50,99,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-4-004","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m4","Mobility, Falls, and Workplace Safety","m4.l5","Emergency Procedures","m4.l5.c01","narration","Emergency Procedures","modules.m4.l5.c01","For fire emergencies, remember RACE: Rescue residents in immediate danger. Alarm - pull the fire alarm and call 911. Contain the fire by closing doors and windows. Extinguish a small fire if safe - or Evacuate if the fire is spreading. To use a fire extinguisher, remember PASS: Pull the pin. Aim at the base of the fire - not the flames. Squeeze the handle. Sweep from side to side. For a choking emergency: ask if the resident can speak or cough. If not, stand behind them, place your fist above the navel, grasp it with both hands, and deliver firm upward abdominal thrusts until the obstruction is cleared.","For fire emergencies, remember RACE: Rescue residents in immediate danger. Alarm - pull the fire alarm and call 911. Contain the fire by closing doors and windows. Extinguish a small fire if safe - or Evacuate if the fire is spreading. To use a fire extinguisher, remember PASS: Pull the pin. Aim at the base of the fire - not the flames. Squeeze the handle. Sweep from side to side. For a choking emergency: ask if the resident can speak or cough. If not, stand behind them, place your fist above the navel, grasp it with both hands, and deliver firm upward abdominal thrusts until the obstruction is cleared.",55,109,"Within target","RACE = spell letters then word. PASS = spell out P-A-S-S.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-4-005","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m5","Nutrition, Skin Integrity, and Vital Signs","m5.l1","Nutrition and Hydration","m5.l1.c01","narration","Nutrition and Hydration","modules.m5.l1.c01","The body needs six basic nutrients: carbohydrates for energy, proteins to build and repair tissues, fats for energy and vitamin absorption, vitamins to support body processes, minerals for bone health and fluid balance, and water - the most essential nutrient of all. Older adults are at high risk for dehydration because the sensation of thirst decreases with age, kidneys become less efficient, some medications increase fluid loss, and residents with cognitive impairment may not ask for fluids. Signs of dehydration include dry mouth, dark urine, confusion, dizziness, and dry skin. Offer fluids regularly - do not wait for the resident to ask.","The body needs six basic nutrients: carbohydrates for energy, proteins to build and repair tissues, fats for energy and vitamin absorption, vitamins to support body processes, minerals for bone health and fluid balance, and water - the most essential nutrient of all. Older adults are at high risk for dehydration because the sensation of thirst decreases with age, kidneys become less efficient, some medications increase fluid loss, and residents with cognitive impairment may not ask for fluids. Signs of dehydration include dry mouth, dark urine, confusion, dizziness, and dry skin. Offer fluids regularly - do not wait for the resident to ask.",55,99,"Within target","No special pronunciations required.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-5-001","None identified","TTS planning only; no audio production without authorization.","Draft"
"CNA Recertification Theory","m5","Nutrition, Skin Integrity, and Vital Signs","m5.l2","Feeding Assistance and Aspiration Prevention","m5.l2.c01","narration","Feeding Assistance and Aspiration Prevention","modules.m5.l2.c01","When providing feeding assistance, position the resident upright at 60 to 90 degrees. Sit at their eye level - do not stand over them. Identify each food. Offer small bites - about half a teaspoon. Allow full swallowing time between bites. Offer fluids frequently. Never rush a meal. Watch for warning signs of aspiration: coughing, gagging, color changes, or a wet or gurgling voice after swallowing. If you observe any of these signs, stop feeding immediately, keep the resident upright, call for help, and report to the licensed nurse. If thickened liquids are ordered, use the ordered consistency for all liquids - every time.","When providing feeding assistance, position the resident upright at 60 to 90 degrees. Sit at their eye level - do not stand over them. Identify each food. Offer small bites - about half a teaspoon. Allow full swallowing time between bites. Offer fluids frequently. Never rush a meal. Watch for warning signs of aspiration: coughing, gagging, color changes, or a wet or gurgling voice after swallowing. If you observe any of these signs, stop feeding immediately, keep the resident upright, call for help, and report to the licensed nurse. If thickened liquids are ordered, use the ordered consistency for all liquids - every time.",55,107,"Within target","Aspiration = as-pir-AY-shun.","34_TTS_NARRATION_PACKAGE_COMPLETE.md#TTS-5-002","None identified","TTS planning only; no audio production without authorization.","Draft"
