question_id,lane,category,course_unit_module,objective,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,rationale,difficulty,source_reference,sme_review_status,moodle_import_category
RCFE-RCFE-CETP-002-Q01,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Define person-centered dementia care.,mcq,Person-centered dementia care is best described as care that:,Treats all residents with dementia the same,"Focuses on the individual's history, preferences, abilities, and dignity",Prioritizes facility routines over the person,Avoids family involvement,,B,"Person-centered dementia care individualizes support around the person's identity, preferences, and abilities.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q02,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Describe the nature of Alzheimer's disease.,mcq,Alzheimer's disease is best characterized as:,A normal part of aging,A progressive neurodegenerative condition affecting memory and cognition,"A temporary, fully reversible condition",A contagious infection,,B,Alzheimer's is a progressive neurodegenerative disease; it is not normal aging. Confirm clinical phrasing with SME.,medium,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q03,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Interpret behavioral expressions in dementia.,mcq,Behavioral expressions in dementia (such as agitation) are best understood as:,Deliberate misbehavior,Often a form of communication of an unmet need or discomfort,Always requiring medication,Reasons to isolate the resident,,B,Behaviors often communicate unmet needs; identifying triggers is key to person-centered responses.,medium,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q04,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Apply validation and calm communication.,tf,Validating a resident's feelings and using a calm approach can help reduce dementia-related distress.,TRUE,FALSE,,,,TRUE,Validation and calm communication are core person-centered techniques.,easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q05,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Apply dementia communication techniques.,mcq,Which communication approach is most appropriate for a resident with moderate dementia?,"Long, complex explanations","Short, simple sentences, one step at a time, with patience",Speaking rapidly,Correcting every inaccuracy firmly,,B,"Simple, stepwise, patient communication supports comprehension and reduces distress.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q06,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Design person-centered activities.,mcq,A meaningful activity program for residents with dementia should be:,Identical for everyone,"Tailored to individual abilities, interests, and life history",Eliminated to reduce risk,Limited to passive television,,B,"Individualized, meaningful activity supports engagement and well-being.",medium,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q07,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Respond to dementia-related distress person-centeredly.,scenario,Scenario: A resident with dementia becomes upset during the evening and repeatedly asks to 'go home.' A person-centered response is to:,Tell them repeatedly they live here now,"Respond calmly, acknowledge the feeling, offer reassurance and redirection, and look for unmet needs (hunger, fatigue, pain)",Leave the resident alone until they stop,Restrict them to their room,,B,"Acknowledge feelings, reassure, redirect, and assess for unmet needs (including possible 'sundowning' patterns).",hard,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q08,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Apply person-centered care principles.,ms,Which approaches support person-centered dementia care? (Select all that apply.),Knowing the resident's life story,Maintaining familiar routines,Using restraints for convenience,Involving family in care preferences,,A; B; D,"Life story, routine, and family involvement support person-centered care; restraints for convenience do not.",medium,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q09,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Identify dementia training priorities.,mcq,Staff training on dementia in an RCFE should emphasize:,Speed of task completion only,"Understanding the disease, communication skills, and behavioral support strategies",Avoiding residents with dementia,Medication administration by all staff,,B,"Dementia training emphasizes understanding, communication, and behavioral support.",medium,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q10,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Identify supportive environmental features.,mcq,Which environmental feature can support residents with dementia?,"Cluttered, noisy spaces","Calm, predictable spaces with helpful cues and reduced overstimulation",Frequently rearranged furniture,"Dim, confusing hallways",,B,"Calm, cue-rich, low-overstimulation environments support orientation and comfort.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q11,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Preserve dignity in dementia care.,mcq,Preserving dignity for a resident with dementia during personal care includes:,Performing care without explanation,"Explaining steps simply, ensuring privacy, and offering choices when possible",Rushing to finish,Discussing the resident in front of others,,B,"Simple explanation, privacy, and choice preserve dignity.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q12,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Engage families as care partners.,tf,Family members can be valuable partners in understanding a resident's preferences and history.,TRUE,FALSE,,,,TRUE,Families provide insight into the resident's identity and preferences.,easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q13,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Apply non-pharmacological behavioral support.,mcq,A non-pharmacological first response to mild dementia-related agitation is generally to:,Immediately request sedating medication,"Identify and address triggers, reassure, and redirect",Isolate the resident,Ignore the behavior,,B,"Non-pharmacological, trigger-focused responses are generally first-line; medication decisions are clinical. Confirm clinical guidance with SME.",medium,RCFE-CETP-002 LIC 9140 Course Packet,SME/legal review required before submission,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q14,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),Explain the value of caregiver consistency.,mcq,Why is consistency of caregivers helpful for residents with dementia?,It is not helpful,Familiar caregivers build trust and reduce confusion and anxiety,It reduces staffing costs only,It allows skipping documentation,,B,"Consistent, familiar caregivers support trust and reduce distress.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-002-Q15,RCFE,RCFE-CETP-002,RCFE-CETP-002 - Alzheimer's/Dementia: Person-Centered Care Foundations (4h),State the course aim.,mcq,The overall aim of person-centered dementia foundations is to:,Standardize all residents into one routine,"Support each resident's dignity, abilities, and quality of life",Reduce family contact,Increase use of restraints,,B,"The aim is dignity, ability support, and quality of life for each individual.",easy,RCFE-CETP-002 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-002
RCFE-RCFE-CETP-003-Q01,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Identify wandering/elopement safety risks.,mcq,A primary safety concern for residents with dementia who wander is:,Improved exercise only,Elopement (leaving the facility unsafely) and related injury risk,Better sleep,Reduced supervision needs,,B,"Wandering raises elopement and injury risk, requiring environmental and care planning.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q02,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Describe a supportive dementia environment.,mcq,A dementia-supportive physical environment generally includes:,Confusing layouts and clutter,"Secure but non-institutional design, clear cues, good lighting, and reduced hazards",Locked rooms used as punishment,Removal of all personal items,,B,"Safe, cue-rich, well-lit, hazard-reduced environments support residents with dementia.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q03,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply objective dementia-care documentation.,mcq,Documentation related to a resident with dementia should:,Be vague to save time,"Objectively record behaviors, interventions tried, and outcomes to inform care planning",Include staff opinions and labels,Be skipped if the resident cannot read it,,B,Objective documentation of behaviors and interventions supports individualized care and accountability.,medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q04,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply restraint-reduction principles.,tf,Restraints (physical or chemical) should not be used for staff convenience or discipline in dementia care.,TRUE,FALSE,,,,TRUE,"Restraints for convenience/discipline are prohibited; least-restrictive, person-centered approaches are required. Confirm regulatory specifics with SME/legal.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME/legal review required before submission,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q05,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Identify dementia-related fall risk factors.,mcq,Fall risk is often elevated in residents with dementia because of:,Improved balance,"Impaired judgment, gait/perception changes, and possible medication effects",Increased strength,No relevant factors,,B,"Cognitive, perceptual, gait, and medication factors raise fall risk, requiring prevention measures.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q06,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply environmental agitation-reduction strategies.,mcq,An effective approach to reduce dementia-related agitation in the environment is to:,Increase noise and activity at all times,"Reduce overstimulation, maintain routine, and provide calm spaces",Frequently change the resident's room,Remove orienting cues,,B,"Calm, predictable, low-stimulation environments reduce agitation.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q07,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Respond to elopement risk appropriately.,scenario,Scenario: A resident with dementia is found near an exit door appearing intent on leaving. The most appropriate response is to:,Physically block and scold the resident,"Calmly approach, reassure, redirect to a safe activity, and document/report to update the safety plan",Allow them to leave the building,Lock them in their room,,B,Calm redirection plus documentation and safety-plan updates address elopement risk without improper restraint.,hard,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q08,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply dementia safety measures.,ms,Which measures help keep residents with dementia safe? (Select all that apply.),Wandering/elopement safety planning,Hazard reduction and good lighting,Using seclusion as punishment,Individualized fall-prevention measures,,A; B; D,"Safety planning, hazard reduction, and fall prevention help; punitive seclusion is prohibited.",medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q09,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Explain the purpose of safety features.,mcq,Secured perimeters or alarmed exits in a dementia setting are intended to:,Punish residents,Support resident safety while maintaining dignity and least-restrictive practices,Replace supervision entirely,Restrict resident rights arbitrarily,,B,Safety features support protection while preserving dignity; they do not replace supervision. Confirm regulatory specifics with SME/legal.,medium,RCFE-CETP-003 LIC 9140 Course Packet,SME/legal review required before submission,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q10,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Link behavior change to possible medical causes.,mcq,"When a dementia-related behavior changes suddenly, staff should consider:",That it is always intentional,"A possible underlying medical cause (pain, infection, medication) and report for assessment",Ignoring it,Immediate discharge,,B,Sudden behavior change may signal a medical issue and should be reported for assessment.,medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q11,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)","Maintain individualized, current care plans.",mcq,Care plans for residents with dementia should be:,Static and never updated,Individualized and updated as needs and behaviors change,Identical for all residents,Kept hidden from care staff,,B,Care plans should be individualized and updated to remain relevant.,easy,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q12,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply incident documentation.,tf,Clear documentation of dementia-related incidents supports both resident safety and regulatory accountability.,TRUE,FALSE,,,,TRUE,Incident documentation supports safety and accountability.,easy,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q13,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply lighting/contrast design.,mcq,Adequate lighting and contrast in dementia environments help to:,Increase falls,"Reduce confusion, misperception, and fall risk",Create glare hazards intentionally,Hide hazards,,B,Good lighting/contrast reduce misperception and falls.,easy,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q14,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",Apply least-restrictive principle.,mcq,A least-restrictive approach to dementia safety means:,Using the most restrictive option first,Choosing the option that protects safety while preserving the most freedom and dignity,Avoiding all safety measures,Restraining all residents,,B,Least-restrictive means balancing safety with freedom and dignity.,medium,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-003-Q15,RCFE,RCFE-CETP-003,"RCFE-CETP-003 - Alzheimer's/Dementia: Safety, Environment, Documentation (4h)",State the course focus.,mcq,"The overall focus of this course (dementia safety, environment, and documentation) is to:",Provide medication certification,"Strengthen safe environments, risk management, and accurate documentation for residents with dementia",Eliminate care planning,Replace family involvement,,B,"The focus is safe environments, risk management, and documentation.",easy,RCFE-CETP-003 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-003
RCFE-RCFE-CETP-004-Q01,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Identify core resident rights.,mcq,Residents in an RCFE have the right to:,"Be treated with dignity, respect, and freedom from abuse",Be excluded from decisions about their care,Have personal mail opened by staff routinely,Be restrained for convenience,,A,"Resident rights include dignity, respect, and freedom from abuse and mistreatment.",easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q02,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Describe the role of resident councils.,mcq,A resident council primarily exists to:,Manage facility finances,Give residents a voice in facility matters affecting them,Replace the administrator,Discipline residents,,B,Resident councils provide a collective voice for residents.,easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q03,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Apply dignity-preserving practices.,mcq,Preserving resident dignity during personal care includes:,Providing privacy and respectful communication,Discussing the resident loudly in common areas,Rushing without explanation,Ignoring preferences,,A,Privacy and respect preserve dignity.,easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q04,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Apply resident self-determination.,tf,Residents generally have the right to participate in decisions about their own care and daily life.,TRUE,FALSE,,,,TRUE,Self-determination and participation are core resident rights.,easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q05,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Apply privacy protections.,mcq,Which is an example of protecting a resident's right to privacy?,Sharing care details with unauthorized visitors,Knocking before entering and keeping records confidential,Posting resident information publicly,Discussing residents on social media,,B,Privacy includes confidentiality and respectful entry practices.,easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q06,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Identify abuse-prevention strategies.,mcq,Abuse prevention in an RCFE is supported primarily by:,Avoiding staff training,"Staff screening, training, supervision, and a clear reporting culture",Discouraging residents from speaking up,Ignoring complaints,,B,"Screening, training, supervision, and reporting culture prevent abuse.",medium,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q07,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Respond to resident complaints/abuse concerns.,scenario,Scenario: A resident reports that a staff member spoke to them harshly and ignored their requests. The administrator should:,Dismiss the complaint,"Take the complaint seriously, investigate per policy, protect the resident, and document/report as required",Tell the resident to stop complaining,Punish the resident,,B,"Complaints must be taken seriously, investigated, and addressed with resident protection and documentation. Confirm reporting obligations with SME/legal.",hard,RCFE-CETP-004 LIC 9140 Course Packet,SME/legal review required before submission,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q08,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Identify resident rights.,ms,Which are recognized resident rights? (Select all that apply.),Right to dignity and respect,Right to voice grievances without retaliation,Right to be restrained for convenience,Right to participate in care decisions,,A; B; D,"Dignity, grievance rights, and participation are rights; restraint for convenience is not.",medium,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q09,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Apply anti-retaliation protections.,mcq,Retaliation against a resident for filing a grievance is:,Acceptable,Prohibited; residents may voice concerns without fear of retaliation,Encouraged,Required,,B,Retaliation for grievances is prohibited.,medium,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q10,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Apply cultural competency to rights.,mcq,Cultural competency in resident rights means:,Ignoring cultural differences,"Respecting diverse backgrounds, identities, and preferences in care",Treating everyone identically,Excluding certain residents,,B,"Cultural competency respects diversity, including identity and preferences.",easy,RCFE-CETP-004 LIC 9140 Course Packet,SME review recommended,RCFE/RCFE-CETP-004
RCFE-RCFE-CETP-004-Q11,RCFE,RCFE-CETP-004,"RCFE-CETP-004 - Resident Rights, Dignity, Councils, Abuse Prevention (2h)",Protect resident funds and property.,mcq,"A resident's personal funds or property, when managed by the facility, must be:",Used by staff as needed,"Handled with accountability, accurate records, and protection from misuse",Mixed with facility funds,Ignored,,B,Resident funds/property require accountability and protection from exploitation. Confirm specific safeguards with SME/legal.,medium,RCFE-CETP-004 LIC 9140 Course Packet,SME/legal review required before submission,RCFE/RCFE-CETP-004
