cccco_module,cccco_module_title,objective_n,objective,content_v2_refs,app_location_prefixes,coverage_status,evidence_type,depth_status,source_repair_placeholder,assessed_module_checks,final_exam_pool,note
11,Module 11: Nutrition,1,Define key terminology,M11/L01,module.m11.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L01; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,2,Discuss the body’s need for food and fluids,M11/L02,module.m11.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L02; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,3,List common nutrients and their food sources,M11/L03,module.m11.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L03; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,4,Describe the My Pyramid food guidance system,M11/L04,module.m11.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L04; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,5,Describe the vegan basic four food groups,M11/L05,module.m11.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L05; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,6,Discuss nutritional and fluid needs of the elderly,M11/L06,module.m11.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L06; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,7,Describe therapeutic diets commonly ordered for patients/residents and the responsibilities of the Nurse Assistant,M11/L07,module.m11.lesson.l07,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L07; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,8,Describe proper techniques for feeding patients/residents,M11/L08,module.m11.lesson.l08,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,"Feeding assistance performance remains a hands-on clinical skill; online theory covers dignity, safety, ordered diet, and reportable signs."
11,Module 11: Nutrition,9,Discuss cultural and religious influences on dietary practices,M11/L09,module.m11.lesson.l09,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L09; instructional content is generated from CCCCO source text.
11,Module 11: Nutrition,10,Identify alternative ways to administer nutrition,M11/L10,module.m11.lesson.l10,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 11: Nutrition Knowledge Check,True,Mapped directly to CCCCO Module 11 runtime lesson L10; instructional content is generated from CCCCO source text.
12,Module 12: Emergency Procedures,1,Define key terminology.,M12/L01,module.m12.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 12: Emergency Procedures Knowledge Check,True,Mapped directly to CCCCO Module 12 runtime lesson L01; instructional content is generated from CCCCO source text.
12,Module 12: Emergency Procedures,2,Identify common signs and symptoms of conditions associated with patient/resident distress and describe the Nurse Assistant’s role and responsibility in preventing and/or responding.,M12/L02,module.m12.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 12: Emergency Procedures Knowledge Check,True,Mapped directly to CCCCO Module 12 runtime lesson L02; instructional content is generated from CCCCO source text.
12,Module 12: Emergency Procedures,3,Describe the immediate interventions in a medical emergency.,M12/L03,module.m12.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 12: Emergency Procedures Knowledge Check,True,Mapped directly to CCCCO Module 12 runtime lesson L03; instructional content is generated from CCCCO source text.
12,Module 12: Emergency Procedures,4,List the causes and signs of choking and discuss the use of abdominal thrusts for relief of obstructed airway.,M12/L04,module.m12.lesson.l04,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 12: Emergency Procedures Knowledge Check,True,"Abdominal-thrust performance remains a hands-on clinical skill; online theory covers choking causes, signs, and response boundaries."
12,Module 12: Emergency Procedures,5,Describe common emergency codes used in long-term care facilities. This module may be taught concurrently with Module 4: Safe Environment,M12/L05,module.m12.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 12: Emergency Procedures Knowledge Check,True,Mapped directly to CCCCO Module 12 runtime lesson L05; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,1,Define key terminology,M13/L01,module.m13.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L01; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,2,"Describe common basic human needs and interventions for the elderly patient/resident; environmental, psychological, social, recreational and spiritual",M13/L02,module.m13.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L02; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,3,Describe common community resources to meet the needs of the elderly,M13/L03,module.m13.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L03; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,4,"Describe the special needs of persons with developmental and mental disorders including intellectual disability, cerebral palsy, epilepsy, Parkinson’s disease, and mental illness",M13/L04,module.m13.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L04; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,5,Describe the special needs of persons with Alzheimer’s Disease and other related dementias,M13/L05,module.m13.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L05; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,6,Describe the body’s basic organization and composition,M13/L06,module.m13.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L06; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,7,"List the body systems, including basic anatomy and physiology, common diseases of the elderly with signs and symptoms, Nurse Assistant duties and observations, aging changes and complications of immobility",M13/L07,module.m13.lesson.l07,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L07; instructional content is generated from CCCCO source text.
13,Module 13: Long Term Care Resident,8,"Describe changes in body systems associated with aging Refer to CDPH 276C form: *SNF/ICF providers need to complete A1 Special needs of persons with developmental and mental disorders including intellectual disability, cerebral palsy, epilepsy, Parkinson’s disease, and mental illness (2 hours); A2 Special needs of persons with Alzheimer’s disease and related dementias (2 hours); and B Introduction to anatomy and physiology (B-F minimum 1 hour). **Non-SNF/ICF providers may complete A2 Special needs of persons with Alzheimer’s disease and related dementias (2 hours), or two (2) hours of training from another module in order to meet the sixty (60) hours minimum theory training requirement and B Introduction to anatomy and physiology (B-F minimum 1 hour).",M13/L08,module.m13.lesson.l08,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 13: Long Term Care Resident Knowledge Check,True,Mapped directly to CCCCO Module 13 runtime lesson L08; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,1,Define key terminology,M14/L01,module.m14.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L01; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,2,Discuss rehabilitation (restorative care) and how it promotes independence and patient/resident potential,M14/L02,module.m14.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L02; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,3,State goals of restorative care that promote independence and patient/resident potential,M14/L03,module.m14.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L03; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,4,"Describe the rehabilitation team, state its purpose, and discuss the role of the Nurse Assistant as a member of the team",M14/L04,module.m14.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L04; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,5,List the responsibilities of the Nurse Assistant in promoting patient/resident self-care,M14/L05,module.m14.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L05; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,6,List activities that make up Activities of Daily Living (ADLs),M14/L06,module.m14.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L06; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,7,List common comfort and adaptive devices and explain the purposes of each,M14/L07,module.m14.lesson.l07,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L07; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,8,Identify steps to prevent complications from inactivity,M14/L08,module.m14.lesson.l08,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L08; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,9,Describe range-of-motion exercises (ROM),M14/L09,module.m14.lesson.l09,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,"ROM performance remains a hands-on clinical skill; online theory covers purpose, types, safety rules, and reporting."
14,Module 14- Rehabilitative Nursing,10,Identify procedures and devices used to promote mobility and ambulation for patients/residents with physical and/or visual impairment,M14/L10,module.m14.lesson.l10,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L10; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,11,Discuss relationship between patient’s/resident’s self-esteem and family involvement in care,M14/L11,module.m14.lesson.l11,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L11; instructional content is generated from CCCCO source text.
14,Module 14- Rehabilitative Nursing,12,Discuss the process of documentation and the Nurse Assistant role in care plan meeting,M14/L12,module.m14.lesson.l12,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 14- Rehabilitative Nursing Knowledge Check,True,Mapped directly to CCCCO Module 14 runtime lesson L12; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,1,Define key terminology,M15/L01,module.m15.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L01; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,2,Identify word elements used in medical terms,M15/L02,module.m15.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L02; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,3,Identify medical terminology and abbreviations commonly used in medical facilities,M15/L03,module.m15.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L03; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,4,Define observation and list the senses used to observe a patient/resident.,M15/L04,module.m15.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L04; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,5,Describe objective and subjective observations,M15/L05,module.m15.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L05; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,6,List types of charting documents and the use for each,M15/L06,module.m15.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L06; instructional content is generated from CCCCO source text.
15,Module 15: Observation and Charting,7,Explain how to accurately complete ADL assessment for MDS,M15/L07,module.m15.lesson.l07,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,MDS/ADL assessment completion remains facility/EHR-specific; online theory covers purpose and CNA documentation role.
15,Module 15: Observation and Charting,8,Discuss procedures to use when recording on a patient’s/resident’s chart,M15/L08,module.m15.lesson.l08,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 15: Observation and Charting Knowledge Check,True,Mapped directly to CCCCO Module 15 runtime lesson L08; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,1,Define key terminology,M16/L01,module.m16.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L01; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,2,Describe the five stages of the grieving process according to Dr. Kubler-Ross,M16/L02,module.m16.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L02; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,3,Describe approaches to meet common emotional and spiritual needs of terminally ill patients/residents and their families,M16/L03,module.m16.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L03; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,4,List the rights of the dying patient/resident,M16/L04,module.m16.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L04; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,5,Differentiate between common signs of approaching death and biological death,M16/L05,module.m16.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L05; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,6,Identify care and comfort measures for dying patients/residents,M16/L06,module.m16.lesson.l06,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L06; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,7,Identify the philosophy and goals of hospice and the Nurse Assistant’s role when the patient/resident is cared for by a licensed hospice nurse,M16/L07,module.m16.lesson.l07,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,Mapped directly to CCCCO Module 16 runtime lesson L07; instructional content is generated from CCCCO source text.
16,Module 16: Death and Dying,8,Describe procedures and responsibilities for postmortem care,M16/L08,module.m16.lesson.l08,Deferred,Theory delivery + source-backed activity + deferred hands-on/facility performance,ok,False,CCCCO Module 16: Death and Dying Knowledge Check,True,"Postmortem care remains a hands-on clinical procedure; online theory covers responsibilities, dignity, and reporting boundaries."
17,Module 17: Patient/Resident Abuse,1,Define key terminology,M17/L01,module.m17.lesson.l01,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 17: Patient/Resident Abuse Knowledge Check,True,Mapped directly to CCCCO Module 17 runtime lesson L01; instructional content is generated from CCCCO source text.
17,Module 17: Patient/Resident Abuse,2,Identify and discuss types of elder abuse,M17/L02,module.m17.lesson.l02,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 17: Patient/Resident Abuse Knowledge Check,True,Mapped directly to CCCCO Module 17 runtime lesson L02; instructional content is generated from CCCCO source text.
17,Module 17: Patient/Resident Abuse,3,Discuss the issues related to elder abuse,M17/L03,module.m17.lesson.l03,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 17: Patient/Resident Abuse Knowledge Check,True,Mapped directly to CCCCO Module 17 runtime lesson L03; instructional content is generated from CCCCO source text.
17,Module 17: Patient/Resident Abuse,4,Explain the Nurse Assistant role in preventing elder abuse,M17/L04,module.m17.lesson.l04,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 17: Patient/Resident Abuse Knowledge Check,True,Mapped directly to CCCCO Module 17 runtime lesson L04; instructional content is generated from CCCCO source text.
17,Module 17: Patient/Resident Abuse,5,Describe the Nurse Assistant role in reporting elder abuse,M17/L05,module.m17.lesson.l05,Covered,Theory delivery + source-backed activity + module knowledge check,ok,False,CCCCO Module 17: Patient/Resident Abuse Knowledge Check,True,Mapped directly to CCCCO Module 17 runtime lesson L05; instructional content is generated from CCCCO source text.
