Project,Title,app.location,Narration
CNA Recertification Theory + Clinical Support,M00 L05 C02 01 Delivery,module.m00.lesson.l05.card.c02_01_delivery,"Certificate production remains disabled pending approval metadata and operational controls. Module checks and the final assessment never reveal answer keys to learners.

This orientation item is the only non-CCCCO instructional exception in the course structure."
CNA Recertification Theory + Clinical Support,M00 L05 C90 Challenge,module.m00.lesson.l05.card.c90_challenge,"What is the safest way to apply this orientation rule: Certificate Gate and Final Assessment Boundaries?

A) Follow the rule, protect privacy, and stay within CNA scope.
B) Use real resident details if they make the scenario clearer.
C) Ignore the rule that online theory does not create clinical-hour credit.
D) Assume the course issues a production certificate automatically."
CNA Recertification Theory + Clinical Support,M00 L05 C91 Debrief,module.m00.lesson.l05.card.c91_debrief,"The safest response is to follow the rule, protect privacy, and stay within CNA scope. The course does not claim clinical-hour credit or production certificate issuance."
CNA Recertification Theory + Clinical Support,M10 L01 C01 Overview,module.m10.lesson.l01.card.c01_overview,"CCCCO Module 10 Objective 1 focuses on: Define key terminology. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L01 C02 01 Delivery,module.m10.lesson.l01.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 1: Define key terminology. A. Review the terms listed in the terminology section B. Spell the listed terms accurately C. Pronounce the terms correctly D. Use the terms in their proper context crossword puzzles, Family Feud, Jeopardy, bingo, spelling bee, hangman, and concentration C. Encourage use of dictionary, and textbooks D. Create flashcards for learning purposes words from the list of key terminology and write a sentence for each defining the term C. Uses appropriate terminology when charting and reporting to licensed personnel

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L01 C70 01 Activity,module.m10.lesson.l01.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L01 C90 Challenge,module.m10.lesson.l01.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 1: Practice check: For CCCCO Module 10 Objective 1, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L01 C91 Debrief,module.m10.lesson.l01.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 1. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L02 C01 Overview,module.m10.lesson.l02.card.c01_overview,"CCCCO Module 10 Objective 2 focuses on: Describe what is meant by vital signs, their purpose, and observations made while performing the procedures. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L02 C02 01 Delivery,module.m10.lesson.l02.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 2: Describe what is meant by vital signs, their purpose, and observations made while performing the procedures. A. Vital signs refer to the temperature, pulse, respirations, and blood pressure B. Pain, previously considered the 5th vital sign, has measurable effects on vital signs depending on the type of pain 1. Acute pain 2. Chronic pain 3. Phantom pain 4. Pain scales C. Vital signs are indicators of body function 1. Assess body systems 2. Signify changes that are occurring in the body D. Observations when taking vital signs include

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L02 C02 02 Delivery,module.m10.lesson.l02.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 2: 1. Color and temperature of the skin 2. Behavior of patient/resident 3. Statements from the patient/resident of how they feel, and their comfort level (pain) return demonstration Signs Chart A. Observe student measuring vital signs B. Ask students what changes they would note in patient’s/resident’s skin color, temperature, and behavior

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L02 C70 01 Activity,module.m10.lesson.l02.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L02 C90 Challenge,module.m10.lesson.l02.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 2: Practice check: For CCCCO Module 10 Objective 2, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L02 C91 Debrief,module.m10.lesson.l02.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 2. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L03 C01 Overview,module.m10.lesson.l03.card.c01_overview,"CCCCO Module 10 Objective 3 focuses on: Discuss the use of temperature as an indicator of body function. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L03 C02 01 Delivery,module.m10.lesson.l03.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: Discuss the use of temperature as an indication of body function. A. Temperature 1. Balance between heat gained and heat lost 2. The hypothalamus in the brain is the temperature regulation center B. Heat production. Heat is produced in our bodies by cellular activity, food metabolism, muscle activity, and hormones 1. Infection elevates temperature 2. Brain injury can alter the temperature regulating center to either increase or decrease temperature 3. External factors can cause temperature elevation, such as, hot drinks, hot air, warm clothing and exercise

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 02 Delivery,module.m10.lesson.l03.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: 4. Internal factors such as dehydration C. Heat loss. Heat is normally lost from the body through: 1. Skin – sweating or perspiration and increased blood flow to skin surface 2. Lungs – increased respiratory rate 3. Elimination – urine and feces D. Heat conservation. Heat is conserved by the body through 1. Reducing perspiration 2. Decreasing the flow of blood to the skin 3. Shivering (which increases muscular activity to produce heat) E. Four main sites for temperature measurement (Note contraindications on Skills Procedures pages)

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 03 Delivery,module.m10.lesson.l03.card.c02_03_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: 1. Oral (most common) 2. Rectal a. Most accurate b. Not used as often as in past Caution: The vagus nerve may be stimulated when taking a rectal temperature, which may temporarily decrease the patient’s/resident’s heart rate and blood pressure 3. Tympanic 4. Axillary 5. Temporal B. Display all types of thermometers C. Ask students to identify types return demonstration with all types of thermometers as well as contraindications Temperature Axillary Temperature Tympanic Temperature Rectal Temperature I. Use visual aid for temperature reading in the ear

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 04 Delivery,module.m10.lesson.l03.card.c02_04_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: Electronic temperature measurement of temperature by oral, axillary, temporal, and rectal routes mercury-free glass thermometer, electronic, digital, tympanic, and temporal artery thermometers D. Reports abnormal temperature to nurse Model Curriculum for Nurse Assistants - Revised September 2013 Page 6 of 46 F. Types of Thermometers 1. Glass a. Clinical thermometer b. Mercury free; mercury glass thermometers are no longer used by many facilities, as the mercury is toxic c. Oral or Axillary thermometer has long narrow bulb and blue or green color coding d. Rectal thermometer has short stubby bulb and is color

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 05 Delivery,module.m10.lesson.l03.card.c02_05_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: coded red e. All glass thermometers require the use of a disposable plastic sheath 2. Digital a. Used for oral, rectal or axillary measurement b. Battery operated c. Takes approximately 60 seconds to display the temperature d. Will flash or beep when the temperature has been registered e. Requires the use of a disposable plastic sheath 3. Electronic a. Used for oral, rectal or axillary measurement b. Registers temperature in 2-60 seconds c. Flashes or makes a sound when temperature is displayed d. Probes are color coded (red-rectal, blue/green-oral or

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 06 Delivery,module.m10.lesson.l03.card.c02_06_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: axillary) e. Requires the use of a disposable plastic probe cover f. Stored in a re-charging unit when not in use 4. Disposable a. Used for oral or axillary measurement b. Single use, usually used for patients/residents in isolation c. Does not require the use of a disposable cover 5. Tympanic a. Used to measure temperature reading in the ear b. Requires a disposable probe cover c. Incorrect positioning or ear wax may cause inaccurate reading d. Hearing Aids need to be removed e. Stored in a re-charging base when not in use

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C02 07 Delivery,module.m10.lesson.l03.card.c02_07_delivery,"Source-supported teaching from CCCCO Module 10, Objective 3: 6. Temporal Artery a. Infrared thermometer that measures the temperature of temporal artery b. Device for forehead measurement G. Normal ranges for temperature 1. Normal resting range in adult (97F – 99F) or (36C – 37.5C) 2. Oral 98.6F 3. Rectal 99.6 F – one degree higher than oral 4. Axillary 97.6 F – one degree lower than oral 5. Tympanic or temporal 98.6° F

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L03 C90 Challenge,module.m10.lesson.l03.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 3: Practice check: For CCCCO Module 10 Objective 3, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L03 C91 Debrief,module.m10.lesson.l03.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 3. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L04 C01 Overview,module.m10.lesson.l04.card.c01_overview,"CCCCO Module 10 Objective 4 focuses on: Describe nursing measures to raise and lower the temperature of the body. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L04 C02 01 Delivery,module.m10.lesson.l04.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 4: Describe nursing measures to raise and lower temperature of the body. A. Measures to raise the temperature 1. Increase the temperature in the room 2. Add coverings to the body 3. Provide hot liquids to drink 4. Give warm baths or soaks B. Measures to lower the temperature 1. Decrease the temperature in the room 2. Remove coverings from the body 3. Offer cool liquids to drink 4. Provide cool bath or sponging B. Observation in clinical setting

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L04 C70 01 Activity,module.m10.lesson.l04.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L04 C90 Challenge,module.m10.lesson.l04.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 4: Practice check: For CCCCO Module 10 Objective 4, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L04 C91 Debrief,module.m10.lesson.l04.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 4. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L05 C01 Overview,module.m10.lesson.l05.card.c01_overview,"CCCCO Module 10 Objective 5 focuses on: Describe the circulatory system as it relates to pulse, and identify the pulse sites. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L05 C02 01 Delivery,module.m10.lesson.l05.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 5: Describe the circulatory system as it relates to pulse and identify the pulse sites. A. Pulse 1. Each time the heart contracts, blood is forced into the arterial system. The arterial walls expand to accept the increase in pressure; this expansion is called the pulse 2. By counting each palpated expansion of the arterial wall, the pulse rate can be determined 3. The average (adult heart beat) pulse is 60 to100 beats/minute B. Major pulse sites 1. Carotid – neck 2. Apical – left chest (taken with stethoscope)

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L05 C02 02 Delivery,module.m10.lesson.l05.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 5: 3. Brachial – inner part of elbow 4. Radial – thumb side of wrist 5. Femoral – groin 6. Popliteal – behind the knee 7. Dorsalis pedis – (pedal) top of the foot B. Use visual aid for demonstrating pulse sites D. Advanced activity: Ask students to research procedure for pulse deficit measurement and report/demonstrate to the class B. Locates major pulse sites

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L05 C70 01 Activity,module.m10.lesson.l05.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L05 C90 Challenge,module.m10.lesson.l05.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 5: Practice check: For CCCCO Module 10 Objective 5, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L05 C91 Debrief,module.m10.lesson.l05.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 5. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L06 C01 Overview,module.m10.lesson.l06.card.c01_overview,"CCCCO Module 10 Objective 6 focuses on: Describe factors that increase and decrease pulse, and the qualities to observe in taking a pulse. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L06 C02 01 Delivery,module.m10.lesson.l06.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 6: Describe the factors that increase and decrease pulse, and the qualities to observe in taking a pulse. A. Factors that increase pulse 1. Exercise 2. Fever 3. Hemorrhage 4. Pain 5. Shock 6. Strong emotions (anger, fear, laughter, excitement) 7. Over 100 beats/min – tachycardia return demonstration of radial and apical pulse measurement for full minute Radial Pulse Apical Pulse measurement for radial and brachial pulse for one full minute C. Reports abnormal pulse to nurse B. Factors that decrease the pulse 1. Sleep/rest 2. Depression

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L06 C02 02 Delivery,module.m10.lesson.l06.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 6: 3. Drugs (digitalis, morphine) 4. Athletes in good physical condition have a lower pulse, probably below 60 beats/min 5. Below 60 beats/min – bradycardia C. Qualities of pulse 1. Rate – number of beats per minute 2. Rhythm a. Refers to regularity of pulse beats b. Report irregular heart rhythm even if rate is normal 3. Strength; force (volume) — weak (thready) or bounding

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L06 C70 01 Activity,module.m10.lesson.l06.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L06 C90 Challenge,module.m10.lesson.l06.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 6: Practice check: For CCCCO Module 10 Objective 6, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L06 C91 Debrief,module.m10.lesson.l06.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 6. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L07 C01 Overview,module.m10.lesson.l07.card.c01_overview,"CCCCO Module 10 Objective 7 focuses on: Define and describe respiration and factors that affect respiratory rate. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L07 C02 01 Delivery,module.m10.lesson.l07.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 7: Define and describe respiration and factors affecting respiratory rate. A. Definition 1. Respiration is defined as the exchange of oxygen and carbon dioxide in lungs 2. Breathing refers to inhalation and exhalation of air 3. Regulated in the brain by the medulla B. Normal rate in adult is 12 to 20/minute C. Normal breathing is quiet, effortless, and regular in rhythm D. Factor that increase respiratory rate 1. Exercise 2. Strong emotion 3. Infection 4. Increased body temperature 5. Increased metabolism 6. Pain E. Factors that decrease respiratory rate

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L07 C70 01 Activity,module.m10.lesson.l07.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L07 C90 Challenge,module.m10.lesson.l07.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 7: Practice check: For CCCCO Module 10 Objective 7, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L07 C91 Debrief,module.m10.lesson.l07.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 7. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L08 C01 Overview,module.m10.lesson.l08.card.c01_overview,"CCCCO Module 10 Objective 8 focuses on: Describe observations to be made when measuring respirations. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L08 C02 01 Delivery,module.m10.lesson.l08.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 8: Describe observations to be made when measuring respirations. A. Rate 1. Number of respirations per minute 2. Normal adult 12-20/minute B. Rhythm; regularity of respirations C. Depth; shallow, normal, deep D. Symmetry E. Effort it involves F. Discomfort it causes G. Position patient/resident adopts H. Sounds that accompany it I. Color of skin and mucous membranes, nail beds (cyanosis) J. Changes in patient’s/resident’s behavior Respirations return demonstration for measuring respiratory rate measurement of respirations C. Reports immediately to nurse if patient’s/resident’s respiratory rate is above

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L08 C70 01 Activity,module.m10.lesson.l08.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L08 C90 Challenge,module.m10.lesson.l08.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 8: Practice check: For CCCCO Module 10 Objective 8, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L08 C91 Debrief,module.m10.lesson.l08.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 8. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
